"module name","license","repository"
"@babel/code-frame@7.0.0-beta.44","MIT","https://github.com/babel/babel/tree/master/packages/babel-code-frame"
"@babel/generator@7.0.0-beta.44","MIT","https://github.com/babel/babel/tree/master/packages/babel-generator"
"@babel/helper-function-name@7.0.0-beta.44","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-function-name"
"@babel/helper-get-function-arity@7.0.0-beta.44","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-get-function-arity"
"@babel/helper-split-export-declaration@7.0.0-beta.44","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-split-export-declaration"
"@babel/highlight@7.0.0-beta.44","MIT","https://github.com/babel/babel/tree/master/packages/babel-highlight"
"@babel/runtime@7.0.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-runtime"
"@babel/template@7.0.0-beta.44","MIT","https://github.com/babel/babel/tree/master/packages/babel-template"
"@babel/traverse@7.0.0-beta.44","MIT","https://github.com/babel/babel/tree/master/packages/babel-traverse"
"@babel/types@7.0.0-beta.44","MIT","https://github.com/babel/babel/tree/master/packages/babel-types"
"@material-ui/core@3.1.2","MIT","https://github.com/mui-org/material-ui"
"@material-ui/icons@3.0.1","MIT","https://github.com/mui-org/material-ui"
"@most/multicast@1.3.0","MIT","https://github.com/mostjs/multicast"
"@most/prelude@1.7.1","MIT","https://github.com/mostjs/prelude"
"@mrmlnc/readdir-enhanced@2.2.1","MIT","https://github.com/bigstickcarpet/readdir-enhanced"
"@nodelib/fs.stat@1.1.0","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs.stat"
"@samverschueren/stream-to-observable@0.3.0","MIT","https://github.com/SamVerschueren/stream-to-observable"
"@sindresorhus/is@0.7.0","MIT","https://github.com/sindresorhus/is"
"@types/jss@9.5.6","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/prop-types@15.5.6","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react-transition-group@2.0.14","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react@16.4.14","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@webassemblyjs/ast@1.4.3","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/floating-point-hex-parser@1.4.3","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/helper-buffer@1.4.3","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/helper-code-frame@1.4.3","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/helper-fsm@1.4.3","ISC",""
"@webassemblyjs/helper-wasm-bytecode@1.4.3","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/helper-wasm-section@1.4.3","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/leb128@1.4.3","Apache*",""
"@webassemblyjs/validation@1.4.3","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/wasm-edit@1.4.3","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/wasm-gen@1.4.3","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/wasm-opt@1.4.3","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/wasm-parser@1.4.3","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/wast-parser@1.4.3","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/wast-printer@1.4.3","MIT","https://github.com/xtuc/webassemblyjs"
"abbrev@1.1.1","ISC","https://github.com/isaacs/abbrev-js"
"accepts@1.3.4","MIT","https://github.com/jshttp/accepts"
"accepts@1.3.5","MIT","https://github.com/jshttp/accepts"
"acorn-dynamic-import@3.0.0","MIT","https://github.com/kesne/acorn-dynamic-import"
"acorn-jsx@3.0.1","MIT","https://github.com/RReverser/acorn-jsx"
"acorn@3.3.0","MIT","https://github.com/ternjs/acorn"
"acorn@5.5.3","MIT","https://github.com/acornjs/acorn"
"after@0.8.2","MIT","https://github.com/Raynos/after"
"ajv-errors@1.0.1","MIT","https://github.com/epoberezkin/ajv-errors"
"ajv-keywords@2.1.1","MIT","https://github.com/epoberezkin/ajv-keywords"
"ajv-keywords@3.1.0","MIT","https://github.com/epoberezkin/ajv-keywords"
"ajv-keywords@3.2.0","MIT","https://github.com/epoberezkin/ajv-keywords"
"ajv-keywords@3.4.0","MIT","https://github.com/epoberezkin/ajv-keywords"
"ajv@5.5.2","MIT","https://github.com/epoberezkin/ajv"
"ajv@6.4.0","MIT","https://github.com/epoberezkin/ajv"
"ajv@6.5.0","MIT","https://github.com/epoberezkin/ajv"
"ajv@6.9.1","MIT","https://github.com/epoberezkin/ajv"
"alphanum-sort@1.0.2","MIT","https://github.com/TrySound/alphanum-sort"
"amdefine@1.0.1","BSD-3-Clause OR MIT","https://github.com/jrburke/amdefine"
"ansi-colors@3.2.3","MIT","https://github.com/doowb/ansi-colors"
"ansi-escapes@1.4.0","MIT","https://github.com/sindresorhus/ansi-escapes"
"ansi-escapes@3.1.0","MIT","https://github.com/sindresorhus/ansi-escapes"
"ansi-html@0.0.7","Apache-2.0","https://github.com/Tjatse/ansi-html"
"ansi-regex@2.1.1","MIT","https://github.com/chalk/ansi-regex"
"ansi-regex@3.0.0","MIT","https://github.com/chalk/ansi-regex"
"ansi-styles@1.0.0","MIT","https://github.com/sindresorhus/ansi-styles"
"ansi-styles@2.2.1","MIT","https://github.com/chalk/ansi-styles"
"ansi-styles@3.2.1","MIT","https://github.com/chalk/ansi-styles"
"any-observable@0.3.0","MIT","https://github.com/sindresorhus/any-observable"
"anymatch@1.3.2","ISC","https://github.com/es128/anymatch"
"anymatch@2.0.0","ISC","https://github.com/micromatch/anymatch"
"apache-crypt@1.2.1","MIT","https://github.com/http-auth/apache-crypt"
"apache-md5@1.1.2","MIT","https://github.com/http-auth/apache-md5"
"aproba@1.2.0","ISC","https://github.com/iarna/aproba"
"are-we-there-yet@1.1.5","ISC","https://github.com/iarna/are-we-there-yet"
"argparse@1.0.10","MIT","https://github.com/nodeca/argparse"
"arr-diff@2.0.0","MIT","https://github.com/jonschlinkert/arr-diff"
"arr-diff@4.0.0","MIT","https://github.com/jonschlinkert/arr-diff"
"arr-flatten@1.1.0","MIT","https://github.com/jonschlinkert/arr-flatten"
"arr-union@3.1.0","MIT","https://github.com/jonschlinkert/arr-union"
"array-differ@1.0.0","MIT","https://github.com/sindresorhus/array-differ"
"array-find-index@1.0.2","MIT","https://github.com/sindresorhus/array-find-index"
"array-flatten@1.1.1","MIT","https://github.com/blakeembrey/array-flatten"
"array-flatten@2.1.2","MIT","https://github.com/blakeembrey/array-flatten"
"array-includes@3.0.3","MIT","https://github.com/ljharb/array-includes"
"array-union@1.0.2","MIT","https://github.com/sindresorhus/array-union"
"array-uniq@1.0.3","MIT","https://github.com/sindresorhus/array-uniq"
"array-unique@0.2.1","MIT","https://github.com/jonschlinkert/array-unique"
"array-unique@0.3.2","MIT","https://github.com/jonschlinkert/array-unique"
"arraybuffer.slice@0.0.7","MIT","https://github.com/rase-/arraybuffer.slice"
"arrify@1.0.1","MIT","https://github.com/sindresorhus/arrify"
"asap@2.0.6","MIT","https://github.com/kriskowal/asap"
"asn1.js@4.10.1","MIT","https://github.com/indutny/asn1.js"
"asn1@0.2.4","MIT","https://github.com/joyent/node-asn1"
"assert-plus@1.0.0","MIT","https://github.com/mcavage/node-assert-plus"
"assert@1.4.1","MIT","https://github.com/defunctzombie/commonjs-assert"
"assign-symbols@1.0.0","MIT","https://github.com/jonschlinkert/assign-symbols"
"ast-types@0.10.1","MIT","https://github.com/benjamn/ast-types"
"ast-types@0.11.3","MIT","https://github.com/benjamn/ast-types"
"async-each@1.0.1","MIT","https://github.com/paulmillr/async-each"
"async-foreach@0.1.3","MIT*","https://github.com/cowboy/javascript-sync-async-foreach"
"async-limiter@1.0.0","MIT","https://github.com/strml/async-limiter"
"async@1.5.2","MIT","https://github.com/caolan/async"
"async@2.6.0","MIT","https://github.com/caolan/async"
"asynckit@0.4.0","MIT","https://github.com/alexindigo/asynckit"
"atob@2.1.1","(MIT OR Apache-2.0)","git://git.coolaj86.com/coolaj86/atob.js"
"autoprefixer@6.7.7","MIT","https://github.com/postcss/autoprefixer"
"aws-sign2@0.7.0","Apache-2.0","https://github.com/mikeal/aws-sign"
"aws4@1.8.0","MIT","https://github.com/mhart/aws4"
"babel-cli@6.26.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-cli"
"babel-code-frame@6.26.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-code-frame"
"babel-core@6.26.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-core"
"babel-eslint@8.2.3","MIT","https://github.com/babel/babel-eslint"
"babel-generator@6.26.1","MIT","https://github.com/babel/babel/tree/master/packages/babel-generator"
"babel-helper-bindify-decorators@6.24.1","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-bindify-decorators"
"babel-helper-builder-binary-assignment-operator-visitor@6.24.1","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-builder-binary-assignment-operator-visitor"
"babel-helper-builder-react-jsx@6.26.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-builder-react-jsx"
"babel-helper-call-delegate@6.24.1","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-call-delegate"
"babel-helper-define-map@6.26.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-define-map"
"babel-helper-explode-assignable-expression@6.24.1","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-explode-assignable-expression"
"babel-helper-explode-class@6.24.1","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-explode-class"
"babel-helper-function-name@6.24.1","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-function-name"
"babel-helper-get-function-arity@6.24.1","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-get-function-arity"
"babel-helper-hoist-variables@6.24.1","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-hoist-variables"
"babel-helper-optimise-call-expression@6.24.1","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-optimise-call-expression"
"babel-helper-regex@6.26.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-regex"
"babel-helper-remap-async-to-generator@6.24.1","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-remap-async-to-generator"
"babel-helper-replace-supers@6.24.1","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-replace-supers"
"babel-helpers@6.24.1","MIT","https://github.com/babel/babel/tree/master/packages/babel-helpers"
"babel-loader@7.1.4","MIT","https://github.com/babel/babel-loader"
"babel-messages@6.23.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-messages"
"babel-plugin-check-es2015-constants@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-check-es2015-constants"
"babel-plugin-syntax-async-functions@6.13.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-async-functions"
"babel-plugin-syntax-async-generators@6.13.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-async-generators"
"babel-plugin-syntax-class-constructor-call@6.18.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-class-constructor-call"
"babel-plugin-syntax-class-properties@6.13.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-class-properties"
"babel-plugin-syntax-decorators@6.13.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-decorators"
"babel-plugin-syntax-do-expressions@6.13.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-do-expressions"
"babel-plugin-syntax-dynamic-import@6.18.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-dynamic-import"
"babel-plugin-syntax-exponentiation-operator@6.13.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-exponentation-operator"
"babel-plugin-syntax-export-extensions@6.13.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-export-extensions"
"babel-plugin-syntax-flow@6.18.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-flow"
"babel-plugin-syntax-function-bind@6.13.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-function-bind"
"babel-plugin-syntax-jsx@6.18.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-jsx"
"babel-plugin-syntax-object-rest-spread@6.13.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-object-rest-spread"
"babel-plugin-syntax-trailing-function-commas@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-trailing-function-commas"
"babel-plugin-transform-async-generator-functions@6.24.1","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-async-generator-functions"
"babel-plugin-transform-async-to-generator@6.24.1","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-async-to-generator"
"babel-plugin-transform-class-constructor-call@6.24.1","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-class-constructor-call"
"babel-plugin-transform-class-properties@6.24.1","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-class-properties"
"babel-plugin-transform-decorators@6.24.1","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-decorators"
"babel-plugin-transform-do-expressions@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-do-expressions"
"babel-plugin-transform-es2015-arrow-functions@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-arrow-functions"
"babel-plugin-transform-es2015-block-scoped-functions@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-block-scoped-functions"
"babel-plugin-transform-es2015-block-scoping@6.26.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-block-scoping"
"babel-plugin-transform-es2015-classes@6.24.1","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-classes"
"babel-plugin-transform-es2015-computed-properties@6.24.1","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-computed-properties"
"babel-plugin-transform-es2015-destructuring@6.23.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-destructuring"
"babel-plugin-transform-es2015-duplicate-keys@6.24.1","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-duplicate-keys"
"babel-plugin-transform-es2015-for-of@6.23.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-for-of"
"babel-plugin-transform-es2015-function-name@6.24.1","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-function-name"
"babel-plugin-transform-es2015-literals@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-literals"
"babel-plugin-transform-es2015-modules-amd@6.24.1","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-modules-amd"
"babel-plugin-transform-es2015-modules-commonjs@6.26.2","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-modules-commonjs"
"babel-plugin-transform-es2015-modules-systemjs@6.24.1","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-modules-systemjs"
"babel-plugin-transform-es2015-modules-umd@6.24.1","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-modules-umd"
"babel-plugin-transform-es2015-object-super@6.24.1","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-object-super"
"babel-plugin-transform-es2015-parameters@6.24.1","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-parameters"
"babel-plugin-transform-es2015-shorthand-properties@6.24.1","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-shorthand-properties"
"babel-plugin-transform-es2015-spread@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-spread"
"babel-plugin-transform-es2015-sticky-regex@6.24.1","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-sticky-regex"
"babel-plugin-transform-es2015-template-literals@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-template-literals"
"babel-plugin-transform-es2015-typeof-symbol@6.23.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-typeof-symbol"
"babel-plugin-transform-es2015-unicode-regex@6.24.1","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-unicode-regex"
"babel-plugin-transform-exponentiation-operator@6.24.1","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-exponentiation-operator"
"babel-plugin-transform-export-extensions@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-export-extensions"
"babel-plugin-transform-flow-strip-types@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-flow-strip-types"
"babel-plugin-transform-function-bind@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-function-bind"
"babel-plugin-transform-object-rest-spread@6.26.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-object-rest-spread"
"babel-plugin-transform-react-display-name@6.25.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-react-display-name"
"babel-plugin-transform-react-jsx-self@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-react-jsx-self"
"babel-plugin-transform-react-jsx-source@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-react-jsx-source"
"babel-plugin-transform-react-jsx@6.24.1","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-react-jsx"
"babel-plugin-transform-regenerator@6.26.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-regenerator"
"babel-plugin-transform-strict-mode@6.24.1","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-strict-mode"
"babel-polyfill@6.26.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-polyfill"
"babel-preset-env@1.7.0","MIT","https://github.com/babel/babel-preset-env"
"babel-preset-es2015@6.24.1","MIT","https://github.com/babel/babel/tree/master/packages/babel-preset-es2015"
"babel-preset-flow@6.23.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-preset-flow"
"babel-preset-react@6.24.1","MIT","https://github.com/babel/babel/tree/master/packages/babel-preset-react"
"babel-preset-stage-0@6.24.1","MIT","https://github.com/babel/babel/tree/master/packages/babel-preset-stage-0"
"babel-preset-stage-1@6.24.1","MIT","https://github.com/babel/babel/tree/master/packages/babel-preset-stage-1"
"babel-preset-stage-2@6.24.1","MIT","https://github.com/babel/babel/tree/master/packages/babel-preset-stage-2"
"babel-preset-stage-3@6.24.1","MIT","https://github.com/babel/babel/tree/master/packages/babel-preset-stage-3"
"babel-register@6.26.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-register"
"babel-runtime@6.26.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-runtime"
"babel-template@6.26.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-template"
"babel-traverse@6.26.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-traverse"
"babel-types@6.26.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-types"
"babylon@6.18.0","MIT","https://github.com/babel/babylon"
"babylon@7.0.0-beta.44","MIT","https://github.com/babel/babel/tree/master/packages/babylon"
"babylon@7.0.0-beta.47","MIT","https://github.com/babel/babel/tree/master/packages/babylon"
"backo2@1.0.2","MIT","https://github.com/mokesmokes/backo"
"balanced-match@0.4.2","MIT","https://github.com/juliangruber/balanced-match"
"balanced-match@1.0.0","MIT","https://github.com/juliangruber/balanced-match"
"base64-arraybuffer@0.1.5","MIT","https://github.com/niklasvh/base64-arraybuffer"
"base64-js@1.3.0","MIT","https://github.com/beatgammit/base64-js"
"base64id@1.0.0","MIT","https://github.com/faeldt/base64id"
"base@0.11.2","MIT","https://github.com/node-base/base"
"basic-auth@2.0.1","MIT","https://github.com/jshttp/basic-auth"
"batch@0.6.1","MIT","https://github.com/visionmedia/batch"
"bcrypt-pbkdf@1.0.2","BSD-3-Clause","https://github.com/joyent/node-bcrypt-pbkdf"
"bcryptjs@2.4.3","MIT","https://github.com/dcodeIO/bcrypt.js"
"better-assert@1.0.2","MIT*","https://github.com/visionmedia/better-assert"
"bfj-node4@5.3.1","MIT","https://github.com/philbooth/bfj"
"big.js@3.2.0","MIT","https://github.com/MikeMcl/big.js"
"binary-extensions@1.10.0","MIT","https://github.com/sindresorhus/binary-extensions"
"binaryextensions@2.1.1","MIT","https://github.com/bevry/binaryextensions"
"blessed@0.1.81","MIT","https://github.com/chjj/blessed"
"blob@0.0.4","MIT*","https://github.com/rase-/blob"
"block-stream@0.0.9","ISC","https://github.com/isaacs/block-stream"
"bluebird@3.5.1","MIT","https://github.com/petkaantonov/bluebird"
"bn.js@4.11.8","MIT","https://github.com/indutny/bn.js"
"body-parser@1.18.2","MIT","https://github.com/expressjs/body-parser"
"bonjour@3.5.0","MIT","https://github.com/watson/bonjour"
"boolbase@1.0.0","ISC","https://github.com/fb55/boolbase"
"brace-expansion@1.1.8","MIT","https://github.com/juliangruber/brace-expansion"
"braces@1.8.5","MIT","https://github.com/jonschlinkert/braces"
"braces@2.3.2","MIT","https://github.com/micromatch/braces"
"brcast@3.0.1","MIT","https://github.com/vesparny/brcast"
"brorand@1.1.0","MIT","https://github.com/indutny/brorand"
"browserify-aes@1.2.0","MIT","https://github.com/crypto-browserify/browserify-aes"
"browserify-cipher@1.0.1","MIT","https://github.com/crypto-browserify/browserify-cipher"
"browserify-des@1.0.1","MIT","https://github.com/crypto-browserify/browserify-des"
"browserify-rsa@4.0.1","MIT","https://github.com/crypto-browserify/browserify-rsa"
"browserify-sign@4.0.4","ISC","https://github.com/crypto-browserify/browserify-sign"
"browserify-zlib@0.2.0","MIT","https://github.com/devongovett/browserify-zlib"
"browserslist@1.7.7","MIT","https://github.com/ai/browserslist"
"browserslist@3.2.8","MIT","https://github.com/browserslist/browserslist"
"buffer-from@1.0.0","MIT","https://github.com/LinusU/buffer-from"
"buffer-indexof@1.1.1","MIT","https://github.com/soldair/node-buffer-indexof"
"buffer-xor@1.0.3","MIT","https://github.com/crypto-browserify/buffer-xor"
"buffer@4.9.1","MIT","https://github.com/feross/buffer"
"builtin-modules@1.1.1","MIT","https://github.com/sindresorhus/builtin-modules"
"builtin-status-codes@3.0.0","MIT","https://github.com/bendrucker/builtin-status-codes"
"bytes@3.0.0","MIT","https://github.com/visionmedia/bytes.js"
"cacache@10.0.4","ISC","https://github.com/zkat/cacache"
"cache-base@1.0.1","MIT","https://github.com/jonschlinkert/cache-base"
"cacheable-request@2.1.4","MIT","https://github.com/lukechilds/cacheable-request"
"call-me-maybe@1.0.1","MIT","https://github.com/limulus/call-me-maybe"
"caller-path@0.1.0","MIT","https://github.com/sindresorhus/caller-path"
"callsite@1.0.0","MIT*",""
"callsites@0.2.0","MIT","https://github.com/sindresorhus/callsites"
"camel-case@3.0.0","MIT","https://github.com/blakeembrey/camel-case"
"camelcase-keys@2.1.0","MIT","https://github.com/sindresorhus/camelcase-keys"
"camelcase@2.1.1","MIT","https://github.com/sindresorhus/camelcase"
"camelcase@3.0.0","MIT","https://github.com/sindresorhus/camelcase"
"camelcase@4.1.0","MIT","https://github.com/sindresorhus/camelcase"
"caniuse-api@1.6.1","MIT","https://github.com/nyalab/caniuse-api"
"caniuse-db@1.0.30000823","CC-BY-4.0","https://github.com/Fyrd/caniuse"
"caniuse-lite@1.0.30000846","CC-BY-4.0","https://github.com/ben-eb/caniuse-lite"
"caseless@0.12.0","Apache-2.0","https://github.com/mikeal/caseless"
"chalk@0.4.0","MIT","https://github.com/sindresorhus/chalk"
"chalk@1.1.3","MIT","https://github.com/chalk/chalk"
"chalk@2.3.2","MIT","https://github.com/chalk/chalk"
"chalk@2.4.1","MIT","https://github.com/chalk/chalk"
